dataset,seed,instance_id,tw_proxy,chosen_backend,regret_s,bound_violation,semantic_pass
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_frumpy,0.01934387511573732,0,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_frumpy,0.0,0,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_frumpy,0.0,0,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,comp_trendy_proxy,0.00016475014854222536,0,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_frumpy,0.0,0,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,comp_trendy_proxy,0.0,0,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,comp_trendy_proxy,0.0,0,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_frumpy,0.0,0,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,comp_trendy_proxy,0.0,0,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_frumpy,0.012049249955452979,0,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,comp_trendy_proxy,0.0,0,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_frumpy,0.0,0,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_frumpy,0.0023105000145733356,0,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_frumpy,0.0036145419580861926,0,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_frumpy,0.00010429101530462503,0,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,comp_trendy_proxy,0.0,0,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,comp_trendy_proxy,0.0,0,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_frumpy,0.0,0,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,enum_frumpy,0.0020145419985055923,0,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,comp_trendy_proxy,0.007753000129014254,0,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,enum_frumpy,0.0,0,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_000,13,comp_trendy_proxy,0.0,0,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_001,54,comp_trendy_proxy,3.412493970245123e-05,0,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_002,13,comp_trendy_proxy,0.010203292011283338,0,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_000,17,comp_trendy_proxy,0.0,0,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_001,35,enum_frumpy,0.0,0,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_002,48,enum_frumpy,0.0034050829708576202,0,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_000,48,enum_frumpy,0.0,0,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_001,12,comp_trendy_proxy,0.0032213329104706645,0,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_002,18,comp_trendy_proxy,0.005641583818942308,0,1
formula_eval_v1,3,formula_eval_v1_3_000,47,enum_frumpy,0.0015159581089392304,0,1
formula_eval_v1,3,formula_eval_v1_3_001,55,enum_frumpy,0.0,0,1
formula_eval_v1,3,formula_eval_v1_3_002,35,enum_frumpy,0.012823540950194001,0,1
formula_eval_v1,5,formula_eval_v1_5_000,15,comp_trendy_proxy,0.0,0,1
formula_eval_v1,5,formula_eval_v1_5_001,34,enum_frumpy,0.0,0,1
formula_eval_v1,5,formula_eval_v1_5_002,39,enum_frumpy,3.104202914983034e-05,0,1
formula_eval_v1,7,formula_eval_v1_7_000,28,enum_frumpy,0.0,0,1
formula_eval_v1,7,formula_eval_v1_7_001,51,enum_frumpy,0.0,0,1
formula_eval_v1,7,formula_eval_v1_7_002,19,comp_trendy_proxy,0.001501748920418322,0,1
formula_eval_v1,9,formula_eval_v1_9_000,15,comp_trendy_proxy,0.0,0,1
formula_eval_v1,9,formula_eval_v1_9_001,40,enum_frumpy,0.0003365828888490796,0,1
formula_eval_v1,9,formula_eval_v1_9_002,18,comp_trendy_proxy,0.0060109569458290935,0,1
formula_eval_v1,11,formula_eval_v1_11_000,45,enum_frumpy,0.001747000147588551,0,1
formula_eval_v1,11,formula_eval_v1_11_001,23,comp_trendy_proxy,0.0,0,1
formula_eval_v1,11,formula_eval_v1_11_002,18,comp_trendy_proxy,0.00040304113645106554,0,1
ordering_v1,3,ordering_v1_3_000,40,enum_frumpy,0.006081167026422918,0,1
ordering_v1,3,ordering_v1_3_001,54,comp_trendy_proxy,0.0005141248693689704,0,1
ordering_v1,3,ordering_v1_3_002,34,enum_frumpy,0.004407375119626522,0,1
ordering_v1,5,ordering_v1_5_000,35,enum_frumpy,0.0015401249984279275,0,1
ordering_v1,5,ordering_v1_5_001,47,enum_frumpy,0.0007440410554409027,0,1
ordering_v1,5,ordering_v1_5_002,44,comp_trendy_proxy,0.0,0,1
ordering_v1,7,ordering_v1_7_000,21,comp_trendy_proxy,0.01029041688889265,0,1
ordering_v1,7,ordering_v1_7_001,30,enum_frumpy,0.0,0,1
ordering_v1,7,ordering_v1_7_002,40,comp_trendy_proxy,0.0,0,1
ordering_v1,9,ordering_v1_9_000,24,comp_trendy_proxy,0.0018679988570511341,0,1
ordering_v1,9,ordering_v1_9_001,50,enum_frumpy,0.0,0,1
ordering_v1,9,ordering_v1_9_002,25,comp_trendy_proxy,0.0,0,1
ordering_v1,11,ordering_v1_11_000,7,comp_trendy_proxy,0.007948540966026485,0,1
ordering_v1,11,ordering_v1_11_001,29,enum_frumpy,0.0,0,1
ordering_v1,11,ordering_v1_11_002,5,comp_trendy_proxy,0.0,0,1
counting_v1,3,counting_v1_3_000,23,comp_trendy_proxy,0.008863416034728289,0,1
counting_v1,3,counting_v1_3_001,25,comp_trendy_proxy,0.0,0,1
counting_v1,3,counting_v1_3_002,40,enum_frumpy,0.0032012079609557986,0,1
counting_v1,5,counting_v1_5_000,40,enum_frumpy,0.0005104579031467438,0,1
counting_v1,5,counting_v1_5_001,13,comp_trendy_proxy,0.00783304194919765,0,1
counting_v1,5,counting_v1_5_002,33,enum_frumpy,0.0,0,1
counting_v1,7,counting_v1_7_000,38,enum_frumpy,0.0009673739550635219,0,1
counting_v1,7,counting_v1_7_001,24,comp_trendy_proxy,0.0004132920876145363,0,1
counting_v1,7,counting_v1_7_002,12,comp_trendy_proxy,0.002427457948215306,0,1
counting_v1,9,counting_v1_9_000,24,comp_trendy_proxy,0.0,0,1
counting_v1,9,counting_v1_9_001,18,comp_trendy_proxy,0.004379249992780387,0,1
counting_v1,9,counting_v1_9_002,47,enum_frumpy,0.004985457984730601,0,1
counting_v1,11,counting_v1_11_000,36,enum_frumpy,0.0001357909059152007,0,1
counting_v1,11,counting_v1_11_001,40,enum_frumpy,0.0,0,1
counting_v1,11,counting_v1_11_002,7,comp_trendy_proxy,0.004490458988584578,0,1
shortest_path_v1,3,shortest_path_v1_3_000,8,comp_trendy_proxy,0.0,0,1
shortest_path_v1,3,shortest_path_v1_3_001,52,enum_frumpy,0.0015389170730486512,0,1
shortest_path_v1,3,shortest_path_v1_3_002,21,comp_trendy_proxy,0.00162191700655967,0,1
shortest_path_v1,5,shortest_path_v1_5_000,15,comp_trendy_proxy,0.0,0,1
shortest_path_v1,5,shortest_path_v1_5_001,51,enum_frumpy,0.0,0,1
shortest_path_v1,5,shortest_path_v1_5_002,45,comp_trendy_proxy,0.0003331670304760337,0,1
shortest_path_v1,7,shortest_path_v1_7_000,53,enum_frumpy,0.0,0,1
shortest_path_v1,7,shortest_path_v1_7_001,51,enum_frumpy,0.0,0,1
shortest_path_v1,7,shortest_path_v1_7_002,29,enum_frumpy,0.0,0,1
shortest_path_v1,9,shortest_path_v1_9_000,9,comp_trendy_proxy,0.016379083041101694,0,1
shortest_path_v1,9,shortest_path_v1_9_001,14,comp_trendy_proxy,0.005788249894976616,0,1
shortest_path_v1,9,shortest_path_v1_9_002,17,comp_trendy_proxy,0.005587333929724991,0,1
shortest_path_v1,11,shortest_path_v1_11_000,39,comp_trendy_proxy,0.0010226250160485506,0,1
shortest_path_v1,11,shortest_path_v1_11_001,27,enum_frumpy,0.0,0,1
shortest_path_v1,11,shortest_path_v1_11_002,55,comp_trendy_proxy,0.0,0,1
