feature_set,fallback_policy,uncertainty_tau,mean_regret_s,p95_tail_runtime_s,violation_rate,fallback_activation_rate
tw_only,none,0.05,0.059233786736785164,1.7506751295173364,0.1941678520625889,0.0
tw_only,none,0.1,0.059233786736785164,1.7506751295173364,0.1941678520625889,0.0
tw_only,none,0.2,0.059233786736785164,1.7506751295173364,0.1941678520625889,0.0
tw_only,uncertainty_gate,0.05,0.5548815012248007,2.7682749999999996,0.9351351351351351,0.7409672830725462
tw_plus_scc,none,0.05,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,none,0.1,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,none,0.2,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,uncertainty_gate,0.05,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,uncertainty_gate,0.1,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,uncertainty_gate,0.2,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.05,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.1,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.2,0.5620620103474941,2.8005,0.4581792318634424,0.0
tw_plus_scc_plus_reuse,none,0.05,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,none,0.1,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,none,0.2,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.05,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.1,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.2,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.05,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.1,0.5620620103474941,2.8005,0.5066856330014224,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.2,0.5620620103474941,2.8005,0.5066856330014224,0.0
full,none,0.05,0.5620620103474941,2.8005,0.540398293029872,0.0
full,none,0.1,0.5620620103474941,2.8005,0.540398293029872,0.0
full,none,0.2,0.5620620103474941,2.8005,0.540398293029872,0.0
full,uncertainty_gate,0.05,0.5620620103474941,2.8005,0.540398293029872,0.0
full,uncertainty_gate,0.1,0.5620620103474941,2.8005,0.540398293029872,0.0
full,uncertainty_gate,0.2,0.5620620103474941,2.8005,0.540398293029872,0.0
full,uncertainty_plus_tail_guard,0.05,0.5620620103474941,2.8005,0.540398293029872,0.0
full,uncertainty_plus_tail_guard,0.1,0.5620620103474941,2.8005,0.540398293029872,0.0
full,uncertainty_plus_tail_guard,0.2,0.5620620103474941,2.8005,0.540398293029872,0.0
tw_only,uncertainty_gate,0.1,0.5620620103474941,2.8005,0.9411095305832148,0.7469416785206259
tw_only,uncertainty_gate,0.2,0.5620620103474941,2.8005,0.9411095305832148,0.7469416785206259
tw_only,uncertainty_plus_tail_guard,0.05,0.5620620103474941,2.8005,0.9411095305832148,0.7469416785206259
tw_only,uncertainty_plus_tail_guard,0.1,0.5620620103474941,2.8005,0.9411095305832148,0.7469416785206259
tw_only,uncertainty_plus_tail_guard,0.2,0.5620620103474941,2.8005,0.9411095305832148,0.7469416785206259
